OBJECTID,VERTICE,REGION,PROVINCIA,DISTRITO,LOCALIDAD,LATITUD,LONGITUD
28863,3855.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348607380,-72.26415023
28864,3856.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348554760,-72.26422452
28865,3857.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348918940,-72.26464153
28866,3858.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348677940,-72.26395868
28867,3859.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348726710,-72.26380719
28868,3860.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348659000,-72.26383700
28869,3861.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348715310,-72.26372624
28870,3862.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348792510,-72.26370891
28871,3863.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348392080,-72.26380257
28872,3864.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348245710,-72.26406269
28873,3865.00000000000,CUSCO,ANTA,HUAROCONDO,SAYLLAHUAYCCO,-13.348106000,-72.26412061
28874,3866.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.272744960,-72.10683084
28875,3867.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.273802470,-72.10135461
28876,3868.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.273733870,-72.10125538
28877,3869.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.273960100,-72.10090046
28878,3870.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.274060930,-72.10087929
28879,3871.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,LACCA,-14.275214260,-72.11072020
28880,3872.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.341132490,-72.13727318
28881,3873.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.343518140,-72.13927331
28882,3874.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.343430190,-72.13937656
28883,3875.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.343512580,-72.13941940
28884,3876.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.344369980,-72.13970391
28885,3877.00000000000,CUSCO,CHUMBIVILCAS,LLUSCO,HUATARUSI,-14.344375410,-72.13959439
28886,3878.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341804860,-72.14068208
28887,3879.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341854930,-72.14059735
28888,3880.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341779410,-72.14050486
28889,3881.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341747500,-72.14074518
28890,3882.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341265260,-72.14139491
28891,3883.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.341153210,-72.14134285
28892,3884.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.340976670,-72.14138689
28893,3885.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.340842650,-72.14136030
28894,3886.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.340405950,-72.14171346
28895,3887.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.340392790,-72.14202539
28896,3888.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.339385110,-72.14181880
28897,3889.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.339297940,-72.14170856
28898,3890.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.339101920,-72.14179921
28899,3891.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.335755510,-72.14306046
28900,3892.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,HUATARUSI,-14.339605420,-72.14202240
28901,3893.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406756020,-72.21306943
28902,3894.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406888600,-72.21309062
28903,3895.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406949190,-72.21305866
28904,3896.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406664150,-72.21300902
28905,3897.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406620590,-72.21307357
28906,3898.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406710960,-72.21308010
28907,3899.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406614120,-72.21319296
28908,3900.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.405990760,-72.21269376
28909,3901.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.404915170,-72.22076875
28910,3902.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.405961610,-72.21895344
28911,3903.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406016880,-72.21900011
28912,3904.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406052550,-72.21892246
28913,3905.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406791420,-72.21960115
28914,3906.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406818090,-72.21948522
28915,3907.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406894920,-72.21950828
28916,3908.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406890810,-72.21962393
28917,3909.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.407090310,-72.21948924
28918,3910.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406671130,-72.21361875
28919,3911.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406755680,-72.21362204
28920,3912.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406980590,-72.21358639
28921,3913.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,CHIARATA,-14.406801270,-72.21376899
28923,3915.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274788660,-72.12160621
28924,3916.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274678790,-72.12173183
28925,3917.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274778870,-72.12276656
28926,3918.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.274828060,-72.12291583
28927,3919.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273674710,-72.12287524
28928,3920.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273727410,-72.12281872
28929,3921.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273794500,-72.12274862
28930,3922.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273277440,-72.12217388
28931,3923.00000000000,CUSCO,CHUMBIVILCAS,QUIÑOTA,ALLPA ORCCONA,-14.273063230,-72.12258226
